time_s,forward_cm,sideways_cm,forward_speed_cm_s
2.819999999999899920e+00,3.174679132865459223e+02,-2.053593980803746444e+00,1.176936857597318209e+02
2.829999999999898819e+00,3.186894339245015999e+02,-2.048456016028732840e+00,1.218537050347604804e+02
2.839999999999897717e+00,3.198805725602557004e+02,-2.041132799276191623e+00,1.170850350227519385e+02
2.849999999999896616e+00,3.210869257402009112e+02,-2.022645263683795491e+00,1.226179379340022706e+02
2.859999999999895515e+00,3.222917922380567006e+02,-1.999034186117534473e+00,1.189711148583439240e+02
2.869999999999894413e+00,3.235322530114389110e+02,-1.956643785324583051e+00,1.242917300537759644e+02
2.879999999999893312e+00,3.247739629060107518e+02,-1.909190646433058358e+00,1.239579431448365057e+02
2.889999999999892211e+00,3.259774934371777704e+02,-1.854002987639802313e+00,1.183929788874922480e+02
2.899999999999891109e+00,3.271987274957572822e+02,-1.800569670563524349e+00,1.240566222864649717e+02
2.909999999999890008e+00,3.284068675773414157e+02,-1.743044892071434537e+00,1.187268009170782506e+02
2.919999999999888907e+00,3.296340466011084231e+02,-1.687808236807521789e+00,1.228495380760616200e+02
2.929999999999887805e+00,3.308568281000959246e+02,-1.631178490648094170e+00,1.218648161444041591e+02
2.939999999999886704e+00,3.320597104021861696e+02,-1.578915762342814055e+00,1.216529803070618385e+02
2.949999999999885603e+00,3.332787398884161689e+02,-1.523460303800560078e+00,1.215415062385293226e+02
2.959999999999884501e+00,3.344892874418598581e+02,-1.471161673878221610e+00,1.206823181122844062e+02
2.969999999999883400e+00,3.356580942674149242e+02,-1.407695901527598270e+00,1.161954451721588129e+02
2.979999999999882299e+00,3.368598527176453672e+02,-1.358798760055876631e+00,1.223874996159764521e+02
2.989999999999881197e+00,3.380624299119381817e+02,-1.305086484431049021e+00,1.186390829226979520e+02
2.999999999999880096e+00,3.392843909864307648e+02,-1.246190048299256725e+00,1.240767409821778244e+02
3.009999999999878995e+00,3.405049271946138560e+02,-1.182818976680632961e+00,1.224896216995649638e+02
3.019999999999877893e+00,3.417093394281526457e+02,-1.126620625887332805e+00,1.213099297311415654e+02
3.029999999999876792e+00,3.429230981624313017e+02,-1.069160387378506938e+00,1.209073359231222895e+02
3.039999999999875691e+00,3.441300966324611181e+02,-1.016682900498574238e+00,1.203538760943223309e+02
3.049999999999874589e+00,3.453334989522476803e+02,-9.685198896788180800e-01,1.201526173140354103e+02
3.059999999999873488e+00,3.465333968644068250e+02,-9.250126628249387695e-01,1.202261434085091452e+02
3.069999999999872387e+00,3.477354582718713800e+02,-8.855968592921129590e-01,1.202067570583905649e+02
3.079999999999871285e+00,3.488899197737043210e+02,-8.361526821464692061e-01,1.118632665999237190e+02
3.089999999999870184e+00,3.500883147217624014e+02,-8.075981689379538864e-01,1.219416012260466715e+02
3.099999999999869083e+00,3.512834912840536958e+02,-7.772430548091884273e-01,1.179390381205052591e+02
3.109999999999867981e+00,3.525061962011015453e+02,-7.515785526894784851e-01,1.249022016473127366e+02
3.119999999999866880e+00,3.537342812225398916e+02,-7.228410391523941714e-01,1.235346634599321192e+02
3.129999999999865778e+00,3.549725995913949532e+02,-6.905445572324453440e-01,1.237326362797265915e+02
3.139999999999864677e+00,3.561845753712131568e+02,-6.609658414950086991e-01,1.192807437677750499e+02
3.149999999999863576e+00,3.573977840919664573e+02,-6.136595350133096094e-01,1.194185133371565826e+02
3.159999999999862474e+00,3.586208692232393105e+02,-5.799034229951530728e-01,1.239299193616350721e+02
3.169999999999861373e+00,3.598523997393632499e+02,-5.481715101531434708e-01,1.228756107139905396e+02
3.179999999999860272e+00,3.610823013611469037e+02,-5.187713274548575448e-01,1.228617950791448550e+02
3.189999999999859170e+00,3.623086688247008169e+02,-4.934947671617674336e-01,1.223665444519582763e+02
3.199999999999858069e+00,3.635098716392381561e+02,-4.748535529771469865e-01,1.184272692044946211e+02
3.209999999999856968e+00,3.647314748048382285e+02,-4.573994048560997006e-01,1.242518164155596878e+02
3.219999999999855866e+00,3.659386432637975872e+02,-4.451605958773772187e-01,1.187828300874676586e+02
3.229999999999854765e+00,3.671664229931354271e+02,-4.365434298735989538e-01,1.222725028776719256e+02
3.239999999999853664e+00,3.683637028639006985e+02,-4.252126816320382918e-01,1.179999054269692493e+02
3.249999999999852562e+00,3.695805381118628929e+02,-4.248617972674919585e-01,1.235787088795440951e+02
3.259999999999851461e+00,3.708025513181140127e+02,-4.238094760707292741e-01,1.229271671597167455e+02
3.269999999999850360e+00,3.720339583319355938e+02,-4.319508134928172760e-01,1.230175869174789085e+02
3.279999999999849258e+00,3.732407451578826567e+02,-4.453651251674951017e-01,1.186708551952638118e+02
3.289999999999848157e+00,3.744614517458838350e+02,-4.498449528972715550e-01,1.240289687121887852e+02
3.299999999999847056e+00,3.756923456177744356e+02,-4.577849354348403343e-01,1.231554983005095210e+02
3.309999999999845954e+00,3.769257651790060777e+02,-4.744829914563641893e-01,1.234194920409480147e+02
3.319999999999844853e+00,3.781440402586015352e+02,-5.027494945020674066e-01,1.203438873528512261e+02
3.329999999999843752e+00,3.793795688404142652e+02,-5.447334102777805498e-01,1.253024352271462618e+02
3.339999999999842650e+00,3.806182348741468786e+02,-5.991319247939960180e-01,1.244571164170820339e+02
3.349999999999841549e+00,3.818560080606291081e+02,-6.632942056659326679e-01,1.232784767183846952e+02
3.359999999999840448e+00,3.830615933399328128e+02,-7.401077165763941812e-01,1.185268701737055750e+02
3.369999999999839346e+00,3.842721970118670924e+02,-8.069850854119717809e-01,1.227412832487640060e+02
3.379999999999838245e+00,3.854902339411979710e+02,-8.758349463386192468e-01,1.214464906903133254e+02
3.389999999999837144e+00,3.867002248227278187e+02,-9.453759734175284368e-01,1.207698527704359321e+02
3.399999999999836042e+00,3.878837569669501022e+02,-1.021075276874100712e+00,1.164586146513471050e+02
